tr	ru
istemek	хотеть
kalkmak	"вставать; подниматься"
kapatmak	закрывать
karşılamak	встречать
kaybetmek	потерять
kesmek	резать
kızmak	сердиться
konuşmak	говорить
koşmak	бежать
koymak	класть
kullanmak	"водить машину; использовать"
*okumak	*читать, учиться
olmak	быть
oturmak	сидеть
oynamak	играть
ödemek	платить
öǧretmek	преподавать (учить кого либо)
ölmek	умереть
öpmek	целовать
pişirmek	варить, готовить (пищу)
satmak	продавать
seçmek	выбирать
sevmek	любить
sormak	спрашивать
söylemek	сказать <говорить>
telefon etmek	звонить по телефону
temizlemek	чистить
tutmak	держать
unutmak	забывать
uyumak	спать
varmak	приходить, достигать
vermek	давать
yapmak	делать
yardım etmek	помогать
yaşamak	жить
yazmak	писать
yemek	кушать
yıkamak	стирать, мыть
yorulmak	уставать
yüzmek	плавать
ayran	айран
bal	мёд
bisküvi	печенье, бисквит
çikolata	шоколад
dana	говядина
dondurma	мороженое
ekmek	хлеб
etler	мясо
inek sütü	коровье молоко
jambon	ветчина
kahve	кофе
kakao	какао
kaşar	сыр (жёлтый)
kefir	кефир
kek	кекс
krema	сливки
kurabiye	печенье
kuzu	баранина
makarna	макароны
midye	мидия
nohut	нут
pasta	торт, пирожное, выпечка
pastırma	бастурма
peynir	сыр
pirinç	рис
puding	пудинг
ringa balıǧı	сельдь
şeker	сахар, конфеты
siyah çay	чёрный чай
sosis	сосиски
süt	молоко
tereyaǧı	сливочное масло
uskumru	скумбрия
yeşil çay	зелёный чай
yoǧurt	йогурт
yulaf	овсянка
yumurta	яйца
atkı	шарф
ayakkabı	обувь
bluz	блузка
ceket	пиджак
çorap	носок, чулок
don	трусы, нижнее бельё
albs	платье
aşofman	спортивный костюм
etek	юбка
gocuk	дублёнка
gömlek	рубашка
hırka	кофта
jean	джинсы
kaban	куртка (пиджак, пальто)
kaşkol	шарф
kravat	галстук
külotlu çorap	колготки
kürk	шуба
mayo	купальник, плавки
mont	куртка (пиджак, пальто)
pantolon	брюки
şort	шорты
süveter	свитер
takım	костюм (комплект одежды)
toşört	футболка
trençkot	плащ
banka	банк
cami	мечеть
daǧ	гора
dükkan	магазин
durak	остановка
ev	дом
hastane	больница
istasyonu	станция, вокзал
kafe	кафе
kavşaǧı	перекрёсток
kilise	церковь
köprü	мост
merkezi	центр
meydan	площадь
nehir	река
okul	школа
orman	лес
otelin	гостиница
park	парк
pazar	рынок
polis	полиция
postane	почта
sinema	кинотеатр
sokak	улица
tiyatro	театр
yer	место
açık	открыто
açıl çıkış	аварийный выход
asansör	лифт
bayan	для женщин
bozuk	не работает
çekınız	на себя
çıkış	выход
danışma	информация
gırılmez	вход воспрещён
gırış	вход
gırış bıletletı	входные билеты
gırış katı	первый этаж
hastane	больница
ıçecek su	питьевая вода
ıtınız	от себя
kapalı	закрыто
kıralamak	сдаётся
ödeme	касса
satılık	продаётся
sıcak	горячий
sıgara ıçmeyınız	не курить
soǧuk	холодный
ucuzluk	распродажа
zıl	звонить
anahtar	ключ
apartman	многоквартирный дом, квартира
*asansör	*лифт
baca	труба
bahçe	сад
balkon	балкон
bina	здание
çatı	крыша
daire	квартира
duvar	стена
garaj	гараж
havuz	бассейн
kapı	дверь
kat	этаж
merdiven	лестница
oda	комната
pencere	окно
sehpa	журнальный столик
taban	пол
tavan	потолок
boyamak	красить
temizlemek	убираться
yaşamak	жить
